[16:0],[16:1],[16:2],[16:3],[16:4],[16:5],[16:6],[2:99],[2:102],[2:105],[2:108],[2:111],[2:114],[2:117],[11:1],[11:3],[11:5],[11:7],[11:9],[11:11],[0:81]
F1_GAP,F2_GAP,F3_GAP,F4_GAP,F5_GAP,F6_GAP,F7_GAP,F1_SUM_FORCE,F2_SUM_FORCE,F3_SUM_FORCE,F4_SUM_FORCE,F5_SUM_FORCE,F6_SUM_FORCE,F7_SUM_FORCE,F2_BD_FBK,F3_BD_FBK,F4_BD_FBK,F5_BD_FBK,F6_BD_FBK,F7_BD_FBK,H_REAL
26699,15051,9600,6401.5,4337.5,3566.5,2975,14075.7,16059.8,15033.7,13803.2,13313.2,11564.2,8940.67,2006.3,3956.88,4001.21,5859.33,5394.8,2439.74,2.70875
26698.7,15049.3,9601.05,6403.25,4336.45,3566.15,2975,14075.7,16059.8,15033.7,13803.2,13313.2,11564.2,8940.67,2009.74,3955,4005.63,5858.08,5391.36,2465.51,2.70875
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2009.74,3954.92,4001.7,5858.4,5386.95,2478.52,2.70755
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2014.64,3955.26,4004.65,5864.95,5387.44,2463.55,2.70755
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2013.66,3959.13,3998.26,5874.7,5395.78,2460.36,2.70755
26698.5,15048.5,9601.5,6404,4336,3566,2975,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2022.99,3959.72,3999.25,5875.01,5398.73,2482.45,2.70755
26698.2,15040.8,9601.85,6404,4334.95,3564.6,2972.9,14099.9,16119.1,15031.5,13792.2,13289.1,11557.6,8918.7,2019.55,3961.57,3999.74,5870.91,5395.78,2495.21,2.70755
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2021.52,3960.1,3999.25,5873.17,5392.35,2490.06,2.70659
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2013.17,3959.53,3998.26,5871.19,5394.8,2487.85,2.70659
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2019.55,3957.49,3998.76,5866.68,5395.29,2491.77,2.70659
26698,15037.5,9602,6404,4334.5,3564,2972,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2019.06,3957.39,3997.28,5860.28,5386.95,2494.47,2.70659
26698,15039.6,9603.05,6403.3,4334.5,3561.55,2968.85,14141.6,16154.3,15011.7,13768.1,13218.8,11533.4,8931.88,2016.61,3954.24,3999.25,5856.42,5385.47,2499.14,2.70659
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2009.74,3950.36,3993.85,5846.53,5387.44,2493.25,2.70604
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2014.15,3947.94,4000.72,5839.96,5390.87,2495.95,2.70604
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2014.15,3943.46,3998.26,5834.13,5383.51,2491.77,2.70604
26698,15040.5,9603.5,6403,4334.5,3560.5,2967.5,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2016.61,3938.72,4002.19,5827.34,5375.17,2497.66,2.70604
26696.9,15033.5,9600.35,6397.05,4332.75,3559.8,2968.55,14143.8,16209.2,15040.3,13823,13306.6,11546.6,8909.91,2018.57,3934.36,3996.79,5825.86,5373.69,2504.29,2.70604
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2026.92,3930.86,4004.65,5824.78,5377.62,2505.27,2.70086
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2026.92,3928.61,4000.72,5826.65,5376.64,2500.85,2.70086
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2031.33,3924.2,3997.28,5833.3,5378.6,2518.77,2.70086
26696.5,15030.5,9599,6394.5,4332,3559.5,2969,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2023.48,3920.68,4000.72,5831.35,5382.04,2527.61,2.70086
26697.2,15026.7,9595.15,6395.2,4331.65,3557.75,2970.75,14179,16286.1,15115,13849.4,13291.3,11590.6,8923.1,2015.38,3920.25,4010.05,5840.31,5392.35,2527.12,2.70086
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2013.66,3920.54,4002.68,5853.45,5398.73,2526.13,2.69939
26697.5,15025,9593.5,6395.5,4331.5,3557,2971.5,14220.7,16312.5,15121.6,13816.4,13203.4,11610.4,8949.46,2015.13,3919.28,4002.68,5854.96,5400.2,2539.63,2.69939
